IP Address,Juniper Identity:,Juniper Serial Number:,Device Model:
10.255.1.250,caparra_ex4200,CL0211165743,Juniper Virtual Chassis Ethernet Switch
10.255.1.250,caparra_ex4200,CL0211165743,Juniper Virtual Chassis Ethernet Switch
10.255.2.250,RioPiedras_EX4200,CL0211055071,Juniper Virtual Chassis Ethernet Switch
10.255.3.250,Baldorioty_EX4200,CL0211165676,Juniper Virtual Chassis Ethernet Switch
10.255.4.250,Parada15_EX4200,CL0211165712,Juniper Virtual Chassis Ethernet Switch
10.255.5.250,bayamon_ex4200,CL0211185890,Juniper Virtual Chassis Ethernet Switch
10.255.1.250,caparra_ex4200,CL0211165743,Juniper Virtual Chassis Ethernet Switch
10.255.2.250,RioPiedras_EX4200,CL0211055071,Juniper Virtual Chassis Ethernet Switch
10.255.3.250,Baldorioty_EX4200,CL0211165676,Juniper Virtual Chassis Ethernet Switch
10.255.4.250,Parada15_EX4200,CL0211165712,Juniper Virtual Chassis Ethernet Switch
10.255.5.250,bayamon_ex4200,CL0211185890,Juniper Virtual Chassis Ethernet Switch
10.255.1.250,,CL0211165743,Juniper Virtual Chassis Ethernet Switch
10.255.2.250,,CL0211055071,Juniper Virtual Chassis Ethernet Switch
10.255.3.250,,CL0211165676,Juniper Virtual Chassis Ethernet Switch
10.255.4.250,,CL0211165712,Juniper Virtual Chassis Ethernet Switch
10.255.5.250,,CL0211185890,Juniper Virtual Chassis Ethernet Switch
10.255.1.250,,CL0211165743,Juniper Virtual Chassis Ethernet Switch
10.255.2.250,,CL0211055071,Juniper Virtual Chassis Ethernet Switch
10.255.3.250,,CL0211165676,Juniper Virtual Chassis Ethernet Switch
10.255.4.250,,CL0211165712,Juniper Virtual Chassis Ethernet Switch
10.255.5.250,,CL0211185890,Juniper Virtual Chassis Ethernet Switch
10.255.1.250,caparra_ex4200,CL0211165743,Juniper Virtual Chassis Ethernet Switch
10.255.2.250,RioPiedras_EX4200,CL0211055071,Juniper Virtual Chassis Ethernet Switch
10.255.3.250,Baldorioty_EX4200,CL0211165676,Juniper Virtual Chassis Ethernet Switch
10.255.4.250,Parada15_EX4200,CL0211165712,Juniper Virtual Chassis Ethernet Switch
10.255.5.250,bayamon_ex4200,CL0211185890,Juniper Virtual Chassis Ethernet Switch
